School_ID,School_Name,Division_Name,School_Type,Year,History_Pass_Rate,Math_Pass_Rate,Reading_Pass_Rate,Science_Pass_Rate,Writing_Pass_Rate,Overall_Pass_Rate
530,Graham Road Elementary,Fairfax County,Elem,2023-2024,,44.0,34.0,32.0,,36.7
530,Graham Road Elementary,Fairfax County,Elem,2024-2025,,56.0,39.0,38.0,,44.3
560,Belle View Elementary,Fairfax County,Elem,2020-2021,,38.0,58.0,33.0,,43.0
560,Belle View Elementary,Fairfax County,Elem,2021-2022,,62.0,67.0,54.0,,61.0
560,Belle View Elementary,Fairfax County,Elem,2022-2023,,67.0,70.0,55.0,,64.0
560,Belle View Elementary,Fairfax County,Elem,2023-2024,,70.0,69.0,52.0,,63.7
560,Belle View Elementary,Fairfax County,Elem,2024-2025,,77.0,70.0,71.0,,72.7
570,Great Falls Elementary,Fairfax County,Elem,2020-2021,,81.0,89.0,76.0,,82.0
570,Great Falls Elementary,Fairfax County,Elem,2021-2022,,91.0,94.0,92.0,,92.3
570,Great Falls Elementary,Fairfax County,Elem,2022-2023,,93.0,96.0,92.0,,93.7
570,Great Falls Elementary,Fairfax County,Elem,2023-2024,,91.0,92.0,83.0,,88.7
570,Great Falls Elementary,Fairfax County,Elem,2024-2025,,94.0,94.0,99.0,,95.7
580,Westlawn Elementary,Fairfax County,Elem,2020-2021,,29.0,38.0,19.0,,28.7
580,Westlawn Elementary,Fairfax County,Elem,2021-2022,,52.0,49.0,45.0,,48.7
580,Westlawn Elementary,Fairfax County,Elem,2022-2023,,52.0,49.0,47.0,,49.3
580,Westlawn Elementary,Fairfax County,Elem,2023-2024,,46.0,42.0,33.0,,40.3
580,Westlawn Elementary,Fairfax County,Elem,2024-2025,,54.0,47.0,42.0,,47.7
590,Woodley Hills Elementary,Fairfax County,Elem,2020-2021,100.0,20.0,37.0,27.0,,46.0
590,Woodley Hills Elementary,Fairfax County,Elem,2021-2022,,34.0,45.0,40.0,,39.7
590,Woodley Hills Elementary,Fairfax County,Elem,2022-2023,,37.0,45.0,40.0,,40.7
590,Woodley Hills Elementary,Fairfax County,Elem,2023-2024,,43.0,47.0,61.0,,50.3
590,Woodley Hills Elementary,Fairfax County,Elem,2024-2025,,51.0,59.0,57.0,,55.7
620,Cameron Elementary,Fairfax County,Elem,2020-2021,,24.0,48.0,28.0,,33.3
620,Cameron Elementary,Fairfax County,Elem,2021-2022,,48.0,65.0,55.0,,56.0
620,Cameron Elementary,Fairfax County,Elem,2022-2023,,50.0,50.0,43.0,,47.7
620,Cameron Elementary,Fairfax County,Elem,2023-2024,,48.0,54.0,59.0,,53.7
620,Cameron Elementary,Fairfax County,Elem,2024-2025,,62.0,61.0,60.0,,61.0
630,Garfield Elementary,Fairfax County,Elem,2020-2021,,28.0,42.0,32.0,,34.0
630,Garfield Elementary,Fairfax County,Elem,2021-2022,,56.0,60.0,34.0,,50.0
630,Garfield Elementary,Fairfax County,Elem,2022-2023,,60.0,61.0,72.0,,64.3
630,Garfield Elementary,Fairfax County,Elem,2023-2024,,60.0,63.0,71.0,,64.7
630,Garfield Elementary,Fairfax County,Elem,2024-2025,,65.0,61.0,57.0,,61.0
650,Woodburn Elementary,Fairfax County,Elem,2020-2021,,30.0,43.0,24.0,,32.3
650,Woodburn Elementary,Fairfax County,Elem,2021-2022,,54.0,53.0,39.0,,48.7
650,Woodburn Elementary,Fairfax County,Elem,2022-2023,,51.0,52.0,44.0,,49.0
650,Woodburn Elementary,Fairfax County,Elem,2023-2024,,48.0,49.0,39.0,,45.3
650,Woodburn Elementary,Fairfax County,Elem,2024-2025,,51.0,47.0,59.0,,52.3
660,Annandale High,Fairfax County,High,2020-2021,100.0,57.0,73.0,49.0,74.0,70.6
660,Annandale High,Fairfax County,High,2021-2022,,80.0,74.0,58.0,55.0,66.8
660,Annandale High,Fairfax County,High,2022-2023,22.0,79.0,79.0,56.0,,59.0
660,Annandale High,Fairfax County,High,2023-2024,0.0,85.0,76.0,67.0,,57.0
660,Annandale High,Fairfax County,High,2024-2025,80.0,85.0,83.0,71.0,,79.8
673,Jackson Middle,Fairfax County,Middle,2020-2021,,54.0,69.0,52.0,,58.3
673,Jackson Middle,Fairfax County,Middle,2021-2022,,65.0,69.0,64.0,,66.0
673,Jackson Middle,Fairfax County,Middle,2022-2023,,62.0,66.0,59.0,,62.3
673,Jackson Middle,Fairfax County,Middle,2023-2024,,61.0,67.0,59.0,,62.3
673,Jackson Middle,Fairfax County,Middle,2024-2025,,65.0,68.0,61.0,,64.7
680,Bush Hill Elementary,Fairfax County,Elem,2020-2021,,69.0,75.0,61.0,,68.3
680,Bush Hill Elementary,Fairfax County,Elem,2021-2022,,82.0,86.0,80.0,,82.7
680,Bush Hill Elementary,Fairfax County,Elem,2022-2023,,76.0,82.0,66.0,,74.7
680,Bush Hill Elementary,Fairfax County,Elem,2023-2024,,80.0,85.0,75.0,,80.0
680,Bush Hill Elementary,Fairfax County,Elem,2024-2025,,81.0,84.0,77.0,,80.7
690,Gunston Elementary,Fairfax County,Elem,2020-2021,,52.0,72.0,53.0,,59.0
690,Gunston Elementary,Fairfax County,Elem,2021-2022,,81.0,79.0,70.0,,76.7
690,Gunston Elementary,Fairfax County,Elem,2022-2023,,84.0,79.0,84.0,,82.3
690,Gunston Elementary,Fairfax County,Elem,2023-2024,,87.0,78.0,72.0,,79.0
690,Gunston Elementary,Fairfax County,Elem,2024-2025,,84.0,76.0,71.0,,77.0
700,Bucknell Elementary,Fairfax County,Elem,2020-2021,,14.0,38.0,14.0,,22.0
700,Bucknell Elementary,Fairfax County,Elem,2021-2022,,45.0,55.0,24.0,,41.3
700,Bucknell Elementary,Fairfax County,Elem,2022-2023,,47.0,46.0,52.0,,48.3
700,Bucknell Elementary,Fairfax County,Elem,2023-2024,,50.0,55.0,50.0,,51.7
700,Bucknell Elementary,Fairfax County,Elem,2024-2025,,61.0,58.0,38.0,,52.3
710,Sleepy Hollow Elementary,Fairfax County,Elem,2020-2021,,45.0,55.0,39.0,,46.3
710,Sleepy Hollow Elementary,Fairfax County,Elem,2021-2022,,60.0,58.0,64.0,,60.7
710,Sleepy Hollow Elementary,Fairfax County,Elem,2022-2023,,61.0,55.0,47.0,,54.3
710,Sleepy Hollow Elementary,Fairfax County,Elem,2023-2024,,43.0,46.0,38.0,,42.3
710,Sleepy Hollow Elementary,Fairfax County,Elem,2024-2025,,57.0,52.0,53.0,,54.0
720,Belvedere Elementary,Fairfax County,Elem,2020-2021,,61.0,71.0,62.0,,64.7
720,Belvedere Elementary,Fairfax County,Elem,2021-2022,,73.0,82.0,74.0,,76.3
720,Belvedere Elementary,Fairfax County,Elem,2022-2023,,76.0,79.0,64.0,,73.0
720,Belvedere Elementary,Fairfax County,Elem,2023-2024,,80.0,82.0,72.0,,78.0
720,Belvedere Elementary,Fairfax County,Elem,2024-2025,,83.0,79.0,76.0,,79.3
730,Flint Hill Elementary,Fairfax County,Elem,2020-2021,,79.0,85.0,83.0,,82.3
730,Flint Hill Elementary,Fairfax County,Elem,2021-2022,,89.0,90.0,82.0,,87.0
730,Flint Hill Elementary,Fairfax County,Elem,2022-2023,,92.0,93.0,88.0,,91.0
730,Flint Hill Elementary,Fairfax County,Elem,2023-2024,,91.0,91.0,86.0,,89.3
730,Flint Hill Elementary,Fairfax County,Elem,2024-2025,,93.0,92.0,89.0,,91.3
740,Floris Elementary,Fairfax County,Elem,2020-2021,,83.0,87.0,76.0,,82.0
740,Floris Elementary,Fairfax County,Elem,2021-2022,,85.0,89.0,84.0,,86.0
740,Floris Elementary,Fairfax County,Elem,2022-2023,,88.0,88.0,84.0,,86.7
740,Floris Elementary,Fairfax County,Elem,2023-2024,,81.0,83.0,90.0,,84.7
740,Floris Elementary,Fairfax County,Elem,2024-2025,,84.0,82.0,90.0,,85.3
750,Haycock Elementary,Fairfax County,Elem,2020-2021,,91.0,95.0,82.0,,89.3
