registration_number,system_id,entity_name,carrier_category,status,structure_type,overall_height_agl,overall_height_amsl,city,state,county_fips,zip_code
A1284259,1323650,,Unknown,C,MTOWER,60.7,60.7,King George,VA,51099,22485
A1252288,1323852,,Unknown,C,MTOWER,59.4,60.7,Abingdon,VA,51191,24211
A1308561,1323992,,Unknown,C,MTOWER,59.4,60.7,BRACEY,VA,51117,23919
A1263219,1324071,"Arcola Towers 1, LP",Tower Infrastructure,C,MTOWER,59.4,60.0,Mt. Jackson,VA,51171,22842
A1260708,1324077,MILESTONE TOWERS,Tower Infrastructure,C,MTOWER,48.8,49.4,NOKESVILLE,VA,51153,20181
A1306570,1324229,Milestone Towers,Tower Infrastructure,C,MTOWER,39.6,40.2,MANASSAS,VA,51683,20110
A1337599,1324350,,Unknown,C,MTOWER,57.9,59.1,Farmville,VA,51029,23901
A1212677,1324380,,Unknown,G,LTOWER,75.0,79.2,Wylliesburg,VA,51037,23976
A1348107,1324622,,Unknown,C,LTOWER,71.6,74.4,Appomattox,VA,51011,24522
A1259589,1324623,Milestone Towers,Tower Infrastructure,C,LTOWER,50.3,52.7,PURCELLVILLE,VA,51107,20132
A1319719,1324771,County of Frederick,Government,C,LTOWER,85.3,85.3,Winchester,VA,51069,22603
A1251994,1324987,,Unknown,G,LTOWER,100.6,106.7,Grundy,VA,51027,24614
A1308559,1325034,,Unknown,C,LTOWER,86.9,88.1,Charlotte Courthouse,VA,51037,23923
A1297625,1325074,County of Frederick,Government,C,LTOWER,76.0,76.0,Cross Junction,VA,51069,22625
A1297626,1325110,County of Frederick,Government,C,LTOWER,60.6,60.7,Clearbrook,VA,51069,22624
A1313029,1325155,Farmville Seventh Day Adventist Church,Other,C,LTOWER,50.0,50.0,Farmville,VA,51049,23901
A1337617,1325163,,Unknown,C,LTOWER,97.5,98.8,Floyd,VA,51063,24091
A1274273,1325246,Milestone Towers,Tower Infrastructure,C,MTOWER,45.7,46.3,CULPEPER,VA,51047,22701
A1308558,1325276,,Unknown,C,LTOWER,91.4,93.0,Lawrenceville,VA,51025,23868
A1249669,1325343,,Unknown,C,MTOWER,60.7,60.7,Sandstone,VA,51087,23150
A1253548,1325449,,Unknown,C,POLE,7.0,7.0,Arlington,VA,51013,22202
A1253547,1325450,,Unknown,C,POLE,7.0,7.0,Arlington,VA,51013,22202
A1253546,1325453,,Unknown,C,POLE,7.0,7.0,Arlington,VA,51013,22202
A1253545,1325454,,Unknown,C,POLE,7.0,7.0,Arlington,VA,51013,22202
A1278703,1325617,,Unknown,C,MTOWER,59.4,60.7,Roanoke,VA,51161,24018
A1297627,1325624,County of Frederick,Government,C,LTOWER,106.6,106.6,Gainesboro,VA,51069,22603
A1304519,1325710,,Unknown,C,MTOWER,44.2,47.2,Portsmouth,VA,51740,23704
A1265481,1325914,Milestone Towers,Tower Infrastructure,C,MTOWER,45.7,46.3,FREDERICKSBUG,VA,51179,22405
A1243324,1325956,"COUNTY OF HENRICO, POLICE",Government,G,MTOWER,61.0,66.4,Barhamsville,VA,51127,23011
A1250155,1325995,"Arcola Towers 1, LP",Tower Infrastructure,G,MTOWER,45.7,46.3,WINCHESTER,VA,51069,22602
A1304523,1326027,,Unknown,G,MTOWER,64.0,65.5,Petersburg,VA,51730,23803
A1252112,1326225,Calvary Baptist Church,Other,G,GTOWER,62.0,62.0,Spotsylvania,VA,51177,22551
A1304773,1326316,Milestone Towers,Tower Infrastructure,C,MTOWER,45.7,46.3,TRIANGLE,VA,51153,22172
A1253208,1326381,"COUNTY OF HENRICO, POLICE",Government,G,LTOWER,107.0,109.4,Glen Allen,VA,51087,23059
A1310671,1326388,Milestone Towers,Tower Infrastructure,C,MTOWER,45.7,46.3,VIRGINIA BEACH,VA,51810,23456
A1253408,1326389,Milestone Towers,Tower Infrastructure,G,MTOWER,45.7,46.3,PAEONIAN SPRINGS,VA,51107,20129
A1253138,1326390,Milestone Towers,Tower Infrastructure,G,MTOWER,45.7,46.3,ASHBURN,VA,51107,20147
A1309451,1326481,Milestone Tower,Tower Infrastructure,C,MTOWER,45.7,46.3,AMELIA COURT HOUSE,VA,51007,23002
A1249297,1326555,,Unknown,G,LTOWER,59.4,60.7,Laurel Fork,VA,51035,24352
A1297628,1326615,County of Frederick,Government,C,LTOWER,91.0,91.0,Cross Junction,VA,51069,22625
A1297629,1326616,County of Frederick,Government,C,MTOWER,60.0,60.0,Gore,VA,51069,22637
A1292460,1326693,Amelia County Emergency Services,Other,C,LTOWER,73.2,74.7,Jetersville,VA,51007,23083
A1255610,1326730,,Unknown,G,MTOWER,46.3,46.6,Norfolk,VA,51710,23503
A1252484,1326754,,Unknown,G,LTOWER,77.7,79.2,Danville,VA,51143,24541
A1246933,1326885,,Unknown,G,LTOWER,77.7,82.3,Surry,VA,51181,23883
A1319240,1326944,"Arcola Towers 1, LP",Tower Infrastructure,C,MTOWER,59.4,60.0,CONCORD,VA,51031,24538
A1347640,1326950,"Arcola Towers 1, LP",Tower Infrastructure,G,MTOWER,60.7,60.7,CHATHAM,VA,51143,24531
A1283154,1326951,"Arcola Towers 1, LP",Tower Infrastructure,C,MTOWER,60.0,60.7,BARREN SPRINGS,VA,51197,24313
A1259000,1327016,,Unknown,G,MTOWER,59.4,60.7,Fort Eustis,VA,51700,23604
A1310159,1327078,,Unknown,C,POLE,9.1,10.3,Norfolk,VA,51710,23502
A1264146,1327157,MILESTONE TOWERS,Tower Infrastructure,G,MTOWER,48.8,50.0,HAMILTON,VA,51107,20158
A1331970,1327208,,Unknown,G,LTOWER,91.4,92.7,Troutdale,VA,51077,24378
A1259410,1327263,Milestone Towers,Tower Infrastructure,G,MTOWER,45.7,46.3,ASHBURN,VA,51107,20147
A1276906,1327278,,Unknown,A,LTOWER,46.3,52.4,North Tazewell,VA,51185,24630
A1238868,1327321,,Unknown,G,POLE,9.9,11.0,Norfolk,VA,51710,23511
A1300464,1327322,,Unknown,C,POLE,9.9,10.9,Norfolk,VA,51710,23511
A1288030,1327323,,Unknown,C,POLE,9.9,10.9,Norfolk,VA,51710,23511
A1283212,1327324,,Unknown,C,POLE,9.9,10.9,Norfolk,VA,51710,23511
A1300467,1327325,,Unknown,C,POLE,9.9,10.9,Norfolk,VA,51710,23511
A1282722,1327326,,Unknown,C,POLE,9.9,10.9,Norfolk,VA,51710,23511
A1286258,1327328,,Unknown,C,POLE,9.9,10.9,Norfolk,VA,51710,23511
A1262645,1327439,,Unknown,G,LTOWER,76.2,77.5,Freeman,VA,51025,23856
A1279850,1327539,,Unknown,C,POLE,0.1,9.8,Ft Gregg-Adams,VA,51149,23801
A1279851,1327540,,Unknown,C,POLE,0.1,9.8,Ft Gregg-Adams,VA,51149,23801
A1259962,1327556,"Arcola Towers 1, LP",Tower Infrastructure,G,MTOWER,32.0,32.6,STEPHENS CITY,VA,51069,22655
A1260289,1327557,"Arcola Towers 1, LP",Tower Infrastructure,G,MTOWER,59.4,59.4,BURKEVILLE,VA,51135,23922
A1260292,1327558,"Arcola Towers 1, LP",Tower Infrastructure,G,MTOWER,59.4,59.4,HEATHSVILLE,VA,51133,22473
A1273147,1327582,,Unknown,G,MTOWER,36.6,38.1,Williamsburg,VA,51199,23185
