School_ID,School_Name,Division_Name,Year,Accreditation_Status,Num_L3_Indicators,Has_L3_Indicators
1041,Twin Valley Elementary/Middle,Buchanan County,2024-2025,Accredited,0,False
560,Altavista Elementary,Campbell County,2024-2025,Accredited,0,False
200,Altavista High,Campbell County,2024-2025,Accredited,0,False
650,Brookneal Elementary,Campbell County,2024-2025,Accredited,0,False
720,Brookville High,Campbell County,2024-2025,Accredited,0,False
80,Virginia High,Bristol City,2024-2025,Accredited with Conditions,1,True
10,Virginia Middle,Bristol City,2024-2025,Accredited with Conditions,3,True
20,Brookville Middle,Campbell County,2024-2025,Accredited,0,False
650,Brunswick High,Brunswick County,2024-2025,Accredited with Conditions,1,True
660,James S. Russell Middle,Brunswick County,2024-2025,Accredited with Conditions,1,True
130,Concord Elementary,Campbell County,2024-2025,Accredited,0,False
690,Leesville Road Elementary,Campbell County,2024-2025,Accredited,0,False
821,Rustburg Elementary,Campbell County,2024-2025,Accredited,0,False
222,Rustburg High,Campbell County,2024-2025,Accredited,0,False
211,Rustburg Middle,Campbell County,2024-2025,Accredited,0,False
990,Grundy High,Buchanan County,2024-2025,Accredited with Conditions,2,True
120,Hurley Elementary/Middle,Buchanan County,2024-2025,Accredited with Conditions,1,True
60,Tomahawk Elementary,Campbell County,2024-2025,Accredited,0,False
1040,Riverview Elementary/Middle,Buchanan County,2024-2025,Accredited with Conditions,1,True
542,William Campbell High,Campbell County,2024-2025,Accredited,1,True
1042,Twin Valley High,Buchanan County,2024-2025,Accredited with Conditions,2,True
724,Buckingham Co Elementary,Buckingham County,2024-2025,Accredited with Conditions,1,True
723,Buckingham Co Primary,Buckingham County,2024-2025,Accredited with Conditions,1,True
700,Buckingham County High,Buckingham County,2024-2025,Accredited with Conditions,1,True
721,Buckingham County Middle,Buckingham County,2024-2025,Accredited with Conditions,2,True
710,Yellow Branch Elementary,Campbell County,2024-2025,Accredited,0,False
460,Caroline High,Caroline County,2024-2025,Accredited,0,False
9020,Lewis and Clark Elementary,Caroline County,2024-2025,Accredited,0,False
630,Madison Elementary,Caroline County,2024-2025,Accredited,0,False
1230,Carroll County High,Carroll County,2024-2025,Accredited,0,False
450,Carroll County Middle,Carroll County,2024-2025,Accredited,0,False
1180,Fancy Gap Elementary,Carroll County,2024-2025,Accredited,0,False
1150,Gladesboro Elementary,Carroll County,2024-2025,Accredited,0,False
1210,Gladeville Elementary,Carroll County,2024-2025,Accredited,1,True
1170,Hillsville Elementary,Carroll County,2024-2025,Accredited,0,False
1160,Laurel Elementary,Carroll County,2024-2025,Accredited,0,False
1130,Oakland Elementary,Carroll County,2024-2025,Accredited,0,False
1110,St. Paul,Carroll County,2024-2025,Accredited,0,False
80,Charles City County Elementary,Charles City County,2024-2025,Accredited,3,True
470,Bacon District Elementary,Charlotte County,2024-2025,Accredited,0,False
210,Central Middle,Charlotte County,2024-2025,Accredited,0,False
100,Eureka Elementary,Charlotte County,2024-2025,Accredited,0,False
620,Bowling Green Elementary,Caroline County,2024-2025,Accredited with Conditions,1,True
450,Phenix Elementary,Charlotte County,2024-2025,Accredited,0,False
450,Caroline Middle,Caroline County,2024-2025,Accredited with Conditions,5,True
460,Randolph-Henry High,Charlotte County,2024-2025,Accredited,0,False
620,A.M. Davis Elementary,Chesterfield County,2024-2025,Accredited,1,True
861,Alberta Smith Elementary,Chesterfield County,2024-2025,Accredited,0,False
631,Bailey Bridge Middle,Chesterfield County,2024-2025,Accredited,0,False
660,Bellwood Elementary,Chesterfield County,2024-2025,Accredited,0,False
510,Bettie Weaver Elementary,Chesterfield County,2024-2025,Accredited,0,False
20,Bon Air Elementary,Chesterfield County,2024-2025,Accredited,0,False
50,C.C. Wells Elementary,Chesterfield County,2024-2025,Accredited,0,False
492,C.E. Curtis Elementary,Chesterfield County,2024-2025,Accredited,0,False
420,Carver Middle,Chesterfield County,2024-2025,Accredited,5,True
150,Clover Hill Elementary,Chesterfield County,2024-2025,Accredited,0,False
740,Clover Hill High,Chesterfield County,2024-2025,Accredited,0,False
100,Charles City County High,Charles City County,2024-2025,Accredited with Conditions,1,True
840,Cosby High,Chesterfield County,2024-2025,Accredited,0,False
560,Crestwood Elementary,Chesterfield County,2024-2025,Accredited,0,False
480,Ecoff Elementary,Chesterfield County,2024-2025,Accredited,1,True
870,Elizabeth Davis Middle,Chesterfield County,2024-2025,Accredited,0,False
850,Elizabeth Scott Elementary,Chesterfield County,2024-2025,Accredited,0,False
390,Enon Elementary,Chesterfield County,2024-2025,Accredited,0,False
350,Ettrick Elementary,Chesterfield County,2024-2025,Accredited,0,False
300,Evergreen Elementary,Chesterfield County,2024-2025,Accredited,0,False
590,Falling Creek Elementary,Chesterfield County,2024-2025,Accredited,0,False
180,Grange Hall Elementary,Chesterfield County,2024-2025,Accredited,0,False
70,Greenfield Elementary,Chesterfield County,2024-2025,Accredited,0,False
50,Summit Elementary School,Charlottesville City,2024-2025,Accredited with Conditions,1,True
460,Harrowgate Elementary,Chesterfield County,2024-2025,Accredited,0,False
110,Walker Upper Elementary,Charlottesville City,2024-2025,Accredited with Conditions,2,True
60,Hopkins Road Elementary,Chesterfield County,2024-2025,Accredited,0,False
550,J.A. Chalkley Elementary,Chesterfield County,2024-2025,Accredited,0,False
650,J.B. Watkins Elementary,Chesterfield County,2024-2025,Accredited,0,False
500,J.G. Hening Elementary,Chesterfield County,2024-2025,Accredited,0,False
400,Jacobs Road Elementary,Chesterfield County,2024-2025,Accredited,0,False
770,James River High,Chesterfield County,2024-2025,Accredited,0,False
632,Manchester High,Chesterfield County,2024-2025,Accredited,0,False
780,Marguerite F. Christian Elementary,Chesterfield County,2024-2025,Accredited,0,False
370,Matoaca Elementary,Chesterfield County,2024-2025,Accredited,0,False
530,Matoaca High,Chesterfield County,2024-2025,Accredited,0,False
320,Midlothian High,Chesterfield County,2024-2025,Accredited,0,False
40,Midlothian Middle,Chesterfield County,2024-2025,Accredited,0,False
280,Monacan High,Chesterfield County,2024-2025,Accredited,0,False
92,Moseley Elementary,Chesterfield County,2024-2025,Accredited,0,False
360,O.B. Gates Elementary,Chesterfield County,2024-2025,Accredited,0,False
90,Old Hundred Elementary,Chesterfield County,2024-2025,Accredited,0,False
700,Reams Road Elementary,Chesterfield County,2024-2025,Accredited,0,False
730,Robious Elementary,Chesterfield County,2024-2025,Accredited,0,False
760,Robious Middle,Chesterfield County,2024-2025,Accredited,0,False
720,Salem Church Elementary,Chesterfield County,2024-2025,Accredited,0,False
722,Salem Church Middle,Chesterfield County,2024-2025,Accredited,2,True
800,Spring Run Elementary,Chesterfield County,2024-2025,Accredited,0,False
340,Swift Creek Elementary,Chesterfield County,2024-2025,Accredited,0,False
270,Swift Creek Middle,Chesterfield County,2024-2025,Accredited,0,False
410,Thelma Crenshaw Elementary,Chesterfield County,2024-2025,Accredited,0,False
610,Thomas Dale High,Chesterfield County,2024-2025,Accredited,0,False
880,Tomahawk Creek Middle,Chesterfield County,2024-2025,Accredited,0,False
290,W.W. Gordon Elementary,Chesterfield County,2024-2025,Accredited,0,False
860,Winterpock Elementary,Chesterfield County,2024-2025,Accredited,0,False
440,Woolridge Elementary,Chesterfield County,2024-2025,Accredited,0,False
250,Boyce Elementary,Clarke County,2024-2025,Accredited,0,False
10,Clarke County High,Clarke County,2024-2025,Accredited,0,False
290,D.G. Cooley Elementary,Clarke County,2024-2025,Accredited,0,False
11,Craig County High,Craig County,2024-2025,Accredited,0,False
10,McCleary Elementary,Craig County,2024-2025,Accredited,0,False
200,Rena B. Wright Primary,Chesapeake City,2024-2025,Accredited with Conditions,1,True
240,A.G. Richardson Elementary,Culpeper County,2024-2025,Accredited,0,False
480,Culpeper County High,Culpeper County,2024-2025,Accredited,0,False
50,Eastern View High,Culpeper County,2024-2025,Accredited,1,True
450,Emerald Hill Elementary,Culpeper County,2024-2025,Accredited,0,False
971,Truitt Intermediate,Chesapeake City,2024-2025,Accredited with Conditions,1,True
581,Floyd T. Binns Middle,Culpeper County,2024-2025,Accredited,1,True
10,Pearl Sample Elementary,Culpeper County,2024-2025,Accredited,0,False
460,Sycamore Park Elementary,Culpeper County,2024-2025,Accredited,0,False
40,Yowell Elementary,Culpeper County,2024-2025,Accredited,0,False
140,Cumberland Elementary,Cumberland County,2024-2025,Accredited,0,False
151,Cumberland High,Cumberland County,2024-2025,Accredited,0,False
471,Dinwiddie County Middle,Dinwiddie County,2024-2025,Accredited,2,True
310,Dinwiddie Elementary,Dinwiddie County,2024-2025,Accredited,1,True
430,Bensley Elementary,Chesterfield County,2024-2025,Accredited with Conditions,1,True
250,Midway Elementary,Dinwiddie County,2024-2025,Accredited,0,False
130,Beulah Elementary,Chesterfield County,2024-2025,Accredited with Conditions,2,True
10,Southside Elementary,Dinwiddie County,2024-2025,Accredited,1,True
180,Sunnyside Elementary,Dinwiddie County,2024-2025,Accredited,0,False
520,Sutherland Elementary,Dinwiddie County,2024-2025,Accredited,1,True
30,Carver College and Career Academy,Chesterfield County,2024-2025,Accredited with Conditions,3,True
10,Essex High,Essex County,2024-2025,Accredited,0,False
93,Chesterfield Virtual School,Chesterfield County,2024-2025,Accredited with Conditions,1,True
160,Tappahannock Elementary,Essex County,2024-2025,Accredited,0,False
2203,Aldrin Elementary,Fairfax County,2024-2025,Accredited,0,False
660,Annandale High,Fairfax County,2024-2025,Accredited,0,False
1360,Annandale Terrace Elementary,Fairfax County,2024-2025,Accredited,0,False
110,Archer Elementary,Fairfax County,2024-2025,Accredited,0,False
1530,Armstrong Elementary,Fairfax County,2024-2025,Accredited,0,False
550,Bailey's Elementary School for the Arts and Sciences,Fairfax County,2024-2025,Accredited,0,False
2459,Bailey's Upper Elementary School for the Arts and Sciences,Fairfax County,2024-2025,Accredited,0,False
1730,Beech Tree Elementary,Fairfax County,2024-2025,Accredited,0,False
560,Belle View Elementary,Fairfax County,2024-2025,Accredited,0,False
720,Belvedere Elementary,Fairfax County,2024-2025,Accredited,0,False
670,Falling Creek Middle,Chesterfield County,2024-2025,Accredited with Conditions,5,True
2000,Bonnie Brae Elementary,Fairfax County,2024-2025,Accredited,0,False
1090,Braddock Elementary,Fairfax County,2024-2025,Accredited,0,False
940,Bren Mar Park Elementary,Fairfax County,2024-2025,Accredited,0,False
1790,Brookfield Elementary,Fairfax County,2024-2025,Accredited,0,False
700,Bucknell Elementary,Fairfax County,2024-2025,Accredited,0,False
2225,Bull Run Elementary,Fairfax County,2024-2025,Accredited,0,False
680,Bush Hill Elementary,Fairfax County,2024-2025,Accredited,0,False
1940,Camelot Elementary,Fairfax County,2024-2025,Accredited,0,False
620,Cameron Elementary,Fairfax County,2024-2025,Accredited,0,False
