LONG_SCHOOL_YEAR,SCHOOL_DISTRCT_CD,SCHOOL_DSTRCT_NM,INSTN_NUMBER,INSTN_NAME,SUBGRP_DESC,TEST_CMPNT_TYP_CD,NATIONAL_NUM_TESTED_CNT,STATE_NUM_TESTED_CNT,DSTRCT_NUM_TESTED_CNT,INSTN_NUM_TESTED_CNT,NATIONAL_AVG_SCORE_VAL,STATE_AVG_SCORE_VAL,DSTRCT_AVG_SCORE_VAL,INSTN_AVG_SCORE_VAL,source_file,#ASSMT_CD,HIGHEST_RECENT_IND,SCHOOL_DSTRCT_CD
2021-22,629.0,Clarke County,5556,Clarke Central High School,All Students,Science,1349644.0,18999,151,87,19.9,20.7,19.0,20.1,ACT_HIGHEST_2022.csv,,,
2021-22,629.0,Clarke County,104,Classic City High School,All Students,English,1349644.0,18999,151,TFS,19.0,19.9,17.1,,ACT_HIGHEST_2022.csv,,,
2021-22,629.0,Clarke County,5556,Clarke Central High School,All Students,Writing Subscore,333194.0,2776,10,TFS,6.2,6.5,6.9,,ACT_HIGHEST_2022.csv,,,
2021-22,629.0,Clarke County,102,Cedar Shoals High School,All Students,Reading,1349644.0,18999,151,62,20.4,21.7,19.4,17.9,ACT_HIGHEST_2022.csv,,,
2021-22,629.0,Clarke County,102,Cedar Shoals High School,All Students,Writing Subscore,333194.0,2776,10,TFS,6.2,6.5,6.9,,ACT_HIGHEST_2022.csv,,,
2021-22,629.0,Clarke County,104,Classic City High School,All Students,Science,1349644.0,18999,151,TFS,19.9,20.7,19.0,,ACT_HIGHEST_2022.csv,,,
2021-22,629.0,Clarke County,102,Cedar Shoals High School,All Students,English,1349644.0,18999,151,62,19.0,19.9,17.1,15.5,ACT_HIGHEST_2022.csv,,,
2021-22,629.0,Clarke County,5556,Clarke Central High School,All Students,Composite,1349644.0,18999,151,87,19.8,20.7,18.4,19.4,ACT_HIGHEST_2022.csv,,,
2021-22,629.0,Clarke County,5556,Clarke Central High School,All Students,Mathematics,1349644.0,18999,151,87,19.3,19.9,17.7,18.3,ACT_HIGHEST_2022.csv,,,
2021-22,629.0,Clarke County,102,Cedar Shoals High School,All Students,Composite,1349644.0,18999,151,62,19.8,20.7,18.4,17.1,ACT_HIGHEST_2022.csv,,,
2021-22,629.0,Clarke County,5556,Clarke Central High School,All Students,English,1349644.0,18999,151,87,19.0,19.9,17.1,18.3,ACT_HIGHEST_2022.csv,,,
2021-22,629.0,Clarke County,104,Classic City High School,All Students,Writing Subscore,333194.0,2776,10,TFS,6.2,6.5,6.9,,ACT_HIGHEST_2022.csv,,,
2021-22,629.0,Clarke County,104,Classic City High School,All Students,Composite,1349644.0,18999,151,TFS,19.8,20.7,18.4,,ACT_HIGHEST_2022.csv,,,
2021-22,629.0,Clarke County,5556,Clarke Central High School,All Students,Reading,1349644.0,18999,151,87,20.4,21.7,19.4,20.4,ACT_HIGHEST_2022.csv,,,
2021-22,629.0,Clarke County,104,Classic City High School,All Students,Mathematics,1349644.0,18999,151,TFS,19.3,19.9,17.7,,ACT_HIGHEST_2022.csv,,,
2021-22,629.0,Clarke County,104,Classic City High School,All Students,Reading,1349644.0,18999,151,TFS,20.4,21.7,19.4,,ACT_HIGHEST_2022.csv,,,
2021-22,629.0,Clarke County,102,Cedar Shoals High School,All Students,Mathematics,1349644.0,18999,151,62,19.3,19.9,17.7,17.0,ACT_HIGHEST_2022.csv,,,
2021-22,629.0,Clarke County,102,Cedar Shoals High School,All Students,Science,1349644.0,18999,151,62,19.9,20.7,19.0,17.5,ACT_HIGHEST_2022.csv,,,
